Title,Authors,Journal,Year,Drug Discovery Status,Primary Target,AlphaFold Use Score,AlphaFold Use Evidence,PMID,DOI,PubMed URL,Publication Type,Keywords/MeSH,Abstract
Discovering Novel Drug Targets in Clostridioides difficile and Proposing FtsZ Inhibitors via Structure-Based Virtual Screening.,Sholeh Mohammad; Beig Masoumeh; Moradkasani Safoura; Lopes Bruno Silvester; Badmasti Farzad,Current pharmaceutical design,2026,Clinical / Approved,,8,AF used for structure prediction; structure from AF; AF structure used for docking/screening; docking on AF structure; explicit AF usage stated,42136498,10.2174/0113816128442859260414073033,https://pubmed.ncbi.nlm.nih.gov/42136498/,Journal Article,Clostridioides difficile; FtsZ; StreptomeDB.; docking; fasamycin C; formicamycin D; molecular dynamics,"INTRODUCTION: Clostridioides difficile is a major healthcare-associated pathogen causing severe diarrhea and recurrent infections, particularly in older adults. With rising antibiotic resistance, identifying novel drug targets and inhibitors is crucial for effective therapeutic intervention. METHODS: A two-phase in silico approach identified potential drug targets from C. difficile strain 630. Complete protein sequences were retrieved from NCBI, with high-prevalence proteins identified using EDGAR and essential cytoplasmic proteins determined through PSORTb. Proteins homologous to the human proteome and gut microbiota were excluded. The filamenting temperature-sensitive mutant Z (FtsZ) protein was selected for structure-based virtual screening using the AlphaFold-generated model. Molecular docking simulations were performed on StreptomeDB compounds using AutoDock Vina, followed by molecular dynamics simulations. Binding affinity, Lipinski's Rule of Five compliance, and ADMET properties were evaluated. RESULTS: Six promising drug targets were identified: nusG, nusA, accB, argB, ftsZ, and aroE. Virtual screening against FtsZ revealed 27 high-affinity ligands, with fasamycin C and formicamycin D demonstrating favorable profiles. Molecular dynamics simulations confirmed FtsZ-ligand complex stability. DISCUSSION: Identification of FtsZ as a drug target with fasamycin C and formicamycin D as promising inhibitors offers potential solutions for C. difficile infections amid escalating antibiotic resistance. This computational approach enhances antimicrobial drug discovery efficiency. CONCLUSION: This study identified six drug targets for C. difficile, with FtsZ emerging as a promising therapeutic candidate. Fasamycin C and formicamycin D exhibited strong binding affinity and favorable drug-like properties. In vitro and in vivo validation is essential to translate these findings into viable therapeutic options."
Identification and validation of UDP-glycosyltransferase genes associated with lambda-cyhalothrin resistance in Cydia pomonella.,Lv Yun-Tong; Ma Yao; Li Ming-Rui; Jia Qing-Yun; Hu Chao; Gao Ping; Li Yu-Ting; Yang Xue-Qing,International journal of biological macromolecules,2026,Clinical / Approved,UGT,3,AF used for structure prediction; AF2/AF3/Multimer mentioned,42128122,10.1016/j.ijbiomac.2026.152490,https://pubmed.ncbi.nlm.nih.gov/42128122/,Journal Article,C. pomonella; Insecticide docking; Insecticide resistance; RNA interference; UDP-glycosyltransferases; Animals; Pyrethrins; Nitriles; Insecticide Resistance; Glycosyltransferases; Insecticides; Molecular Docking Simulation; RNA Interference; Moths,"Cydia pomonella is a major pest of pome fruits, and its resistance to lambda-cyhalothrin threatens agricultural production. UDP-glycosyltransferases (UGTs) are key phase II detoxification enzymes, which play crucial roles in the metabolism and detoxification of various xenobiotics, including insecticides. However, the specific UGT genes involved in lambda-cyhalothrin resistance in C. pomonella remain largely unknown. Here, we integrated bioassays, enzyme activity assays, RNA-seq, RT-qPCR, RNAi, and AlphaFold 3-based structural prediction to address this gap. The results showed significantly higher UGT activity in the lambda-cyhalothrin-resistant strain (LCR) than in the susceptible strain (SS), and the UGT inhibitor 5-nitrouracil enhanced the toxicity of lambda-cyhalothrin, indicating that the UGTs may contribute to the evolution of pyrethroid resistance. A total of 24 UGT genes were identified from the C. pomonella genome, with 8 upregulated in the midguts of LCR strain. RNAi-mediated knockdown of four highly expressed genes (UGT33AZ1, UGT34A28, UGT33AY1, UGT39A6) significantly increased larval sensitivity to lambda-cyhalothrin. Molecular docking revealed lambda-cyhalothrin binds to the internal pocket of these UGTs via hydrogen bonds. Our findings demonstrate that overexpression of these UGT genes mediates lambda-cyhalothrin resistance in C. pomonella, deepening understanding of resistance mechanisms and providing targets for resistance management."
"In Silico Analysis of the Binding Mode of Verteporfin, a YAP-TEAD Interaction Inhibitor.",Ikegami Yurika; Kudo Genki; Hirao Takumi; Yoshino Ryunosuke; Hirokawa Takatsugu,Chemical & pharmaceutical bulletin,2026,Clinical / Approved,YAP-TEAD,6,structure from AF; AF structure used for docking/screening; explicit AF usage stated; AF2/AF3/Multimer mentioned,41672505,10.1248/cpb.c25-00587,https://pubmed.ncbi.nlm.nih.gov/41672505/,Journal Article,"AlphaFold2 modeling; Yes-associated protein–TEA domain interaction; molecular docking; protein–ligand interaction fingerprint; verteporfin isomer; Verteporfin; Humans; YAP-Signaling Proteins; Transcription Factors; Molecular Docking Simulation; Protein Binding; Binding Sites; Adaptor Proteins, Signal Transducing; Computer Simulation; Molecular Structure","The Hippo signaling pathway plays a central role in regulating cell growth, and dysregulation of its downstream effector Yes-associated protein (YAP) leads to tumorigenesis. Verteporfin (VP), a clinically approved drug, inhibits YAP-TEA domain (TEAD) complex formation, yet its binding mechanism remains unclear. In this study, we conducted a comprehensive in silico analysis of all 4 VP isomers within the context of the full-length YAP-TEAD complex. The complex structure was modeled using AlphaFold2 multimer, which provided sufficient accuracy for docking simulations despite incomplete experimental data on YAP. Docking calculations were performed against 2 grids, one centered on a predicted druggable pocket and the other on the YAP-TEAD interface. A total of 304 poses were generated, and the top-scoring 100 were clustered using protein-ligand interaction fingerprints. Clusters derived from the interface grid revealed strong interactions with residues critical for YAP-TEAD binding. Among the 4 isomers, Ia-2 consistently showed the most favorable binding free energies. Notably, Cluster 7 highlighted a unique Ia-2 binding mode involving simultaneous interactions with Met86 and Arg87, suggesting a competitive mechanism at the YAP-TEAD interface. These results suggest that structural chirality may influence binding stability and interaction patterns, and that the Ia-2 isomer is predicted to preferentially stabilize an inhibitory binding mode. This study provides the first systematic comparison of all VP isomers with full-length YAP and suggests that isolating Ia-2 from Visudyne may enhance anticancer efficacy. The findings further support the rational strategies for designing selective YAP-TEAD inhibitors."
Computational and experimental elucidation of ginsenoside Rh2 as a FAK-targeted inhibitor of tumor cell invasion and migration.,Zhang Xin; Xiao Yunjie; Wang Shen; Han Yifan; Wang Shijiang; Fan Jiehou; Cheng Lili; Zhao Xinbin,Computers in biology and medicine,2026,Preclinical (In Vivo),FAK-targeted,6,AF used for structure prediction; docking on AF structure; explicit AF usage stated; AF2/AF3/Multimer mentioned,42085888,10.1016/j.compbiomed.2026.111717,https://pubmed.ncbi.nlm.nih.gov/42085888/,Journal Article,"Cell invasion; Computational drug discovery; Focal adhesion kinase; Ginsenoside Rh2; Molecular dynamics simulation; Humans; Ginsenosides; Cell Movement; Animals; Mice; Focal Adhesion Kinase 1; Molecular Docking Simulation; HeLa Cells; Neoplasm Invasiveness; Neoplasms; Molecular Dynamics Simulation; Phosphorylation; Mice, Nude; Xenograft Model Antitumor Assays","Metastasis is the primary driver of cancer mortality, yet the anti-metastatic mechanisms of the natural compound Ginsenoside Rh2 (G-Rh2) remain incompletely defined. Here, we integrate computational and experimental approaches to elucidate how G-Rh2 suppresses tumor cell invasion and migration. Molecular docking and dynamics simulations, using an AlphaFold2-predicted model of FAK, predicted that G-Rh2 binds potentially to the kinase domain at the critical Tyr-577 phosphorylation site, thereby sterically hindering FAK activation. Experimentally, non-cytotoxic doses of G-Rh2 inhibited HeLa cell migration and Matrigel invasion. Mechanistically, G-Rh2 disrupted focal adhesion dynamics by downregulating vinculin and impairing actin cytoskeleton remodeling. Concurrently, it suppressed invadopodia formation, cortactin localization, and MMP14 expression, reducing extracellular matrix degradation. Crucially, cellular and biochemical assays-including Western blotting with site-specific phospho-antibodies-validated the computational prediction, showing that G-Rh2 selectively inhibits FAK phosphorylation at Tyr-577 (but not Tyr-397) without affecting total FAK levels. These findings were corroborated in a mouse xenograft model, where G-Rh2 treatment reduced tumor invasiveness and decreased levels of both phospho-FAK (Tyr-577) and vinculin in vivo. This work reveals a dual mechanism, positioning G-Rh2 as a promising FAK-targeted therapeutic agent to prevent tumor invasion and migration."
HighFold-MeD2: An Enhanced Boltz-2 Model for Accurate Structure Prediction of N-Methylated and d-Amino Acid Cyclic Peptides.,Cao Zhigang; Wang Wentong; Cao Sen; Zhang Chengyun; Guo Jingjing; Duan Hongliang,Journal of chemical information and modeling,2026,Preclinical (In Vivo),,3,AF used for structure prediction; AF2/AF3/Multimer mentioned,42076870,10.1021/acs.jcim.6c00158,https://pubmed.ncbi.nlm.nih.gov/42076870/,Journal Article,"Peptides, Cyclic; Amino Acids; Methylation; Models, Molecular; Protein Conformation","Cyclic peptides containing backbone N-methylated amino acids (BNMeAAs) and d-amino acids (d-AAs) exhibit exceptional metabolic stability, membrane permeability, and oral bioavailability, representing a pivotal middle space scaffold between biologics and s small-molecule drugs. To optimize pharmacokinetic and physicochemical properties, various non-canonical amino acids(NCAAs) are frequently introduced; however, these modifications pose significant challenges for three-dimensional structure prediction. While Rosetta simple_cycpep_predict (SCP) can generate high-accuracy structures across a broad chemical space based on energy functions, it requires extensive conformational sampling, resulting in prohibitive computational costs. Recently, deep learning approaches such as AlphaFold3, Boltz-2, HighFold2, and NCPepFold have advanced cyclic peptide prediction but offer limited support for BNMeAAs and d-AAs. In previous work, HighFold-MeD was proposed, which distilled massive conformational data generated by Rosetta SCP into the AlphaFold2 framework, significantly accelerating prediction for modified cyclic peptides. Building upon this, the present study introduces HighFold-MeD2, an enhanced model based on Boltz-2. By leveraging the sequence, modification information, and cyclic constraints as inputs, HighFold-MeD2 utilizes the Pairformer-Diffusion architecture of Boltz-2 to learn the generation of all-atom coordinates from random initialization to Rosetta target structures. The predicted structures are subsequently refined via Amber force field energy minimization to resolve local steric clashes. Unlike its AlphaFold2-based predecessor, which relied on labor-intensive hard-coding for non-natural amino acids, HighFold-MeD2 achieves seamless integration through universal Chemical Component Dictionary (CCD) representations. It not only demonstrates superior prediction precision over HighFold-MeD and state-of-the-art baselines but also validates the feasibility of utilizing CADD-generated conformations to fine-tune all-atom diffusion models, establishing a highly accessible and extensible paradigm for cyclic peptide drug design."
Integrated network pharmacology and AlphaFold modeling reveal ESR1 as a key target of Huanglian Jiedu decoction for ameliorating sepsis-induced coagulopathy.,Yiming Shen; Bing Shao; Yinghao Pei; Haiyi Ding; Suzhen Zhang; Qiuhua Chen; Linfeng Dai; Weinan Wu; Lu Cao; Xiaowen Zhou; Yuanyuan Gu; Xing Wang; Hua Jiang,Journal of ethnopharmacology,2026,Preclinical (In Vivo),,4,AF used for structure prediction; AF2/AF3/Multimer mentioned; synthesis reported,41850636,10.1016/j.jep.2026.121529,https://pubmed.ncbi.nlm.nih.gov/41850636/,Journal Article,"AlphaFold; ESR1; Huanglian Jiedu decoction; Sepsis; Sepsis-induced coagulopathy; Animals; Sepsis; Drugs, Chinese Herbal; Network Pharmacology; Male; Rats, Sprague-Dawley; Rats; Blood Coagulation Disorders; Disease Models, Animal; Molecular Dynamics Simulation; Molecular Docking Simulation","ETHNOPHARMACOLOGICAL RELEVANCE: Huanglian Jiedu Decoction (HLJDD) was initially documented in the Elbow Reserve Emergency Prescription, an ancient Chinese medical text created in the Eastern Jin Dynasty. This decoction is composed of four herbs: Huanglian (HL, Coptis chinensis Franch.), Zhizi (ZZ, Gardenia jasminoides Ellis), Huangqin (HQ, Scutellaria baicalensis Georgi), and Huangbo (HB, Phellodendron chinense Schneid.). Modern pharmacological research shows that HLJDD exerts multiple therapeutic effects, including antibacterial and anti-inflammatory properties, improvement of coagulation function, and amelioration of cerebral ischemia. AIMS OF THE STUDY: Sepsis-induced coagulopathy (SIC) is a critical complication associated with sepsis, characterized by disruptive coagulation. This study evaluated the efficacy of HLJDD in alleviating SIC and elucidated its potential mechanisms through network pharmacology, molecular dynamics, and AlphaFold. MATERIALS AND METHODS: The cecal ligation and puncture (CLP) method was used to establish a septic rat model. HLJDD was administered as an intervention. Mortality rates, vital signs, histopathological testing of the lung and kidney, blood cell counts, and coagulation function were assessed to evaluate the severity of coagulation disorders and inflammatory injury across the groups. Network pharmacology was used to identify candidate targets, and the potential mechanism of HLJDD in alleviating SIC was verified by ELISA, RT-qPCR and Western blot. AlphaFold 3 and molecular dynamics simulations were used to predict the potential regulatory mechanisms of ESR1 by the major compound of HLJDD. RESULTS: This study demonstrated that HLJDD improved coagulation dysfunction, reduced inflammatory response and lung and kidney pathological damage in CLP-induced sepsis rats, and significantly improved survival rate. The major compounds of HLJDD were identified by integrated network pharmacology and UPLC-Q-TOF-MS. ESR1, IL-6, and CXCL8 were identified as potential targets for HLJDD in alleviating SIC. In the validation of the predicted results, HLJDD restored reduced ESR1 expression in the lungs and kidneys of sepsis rats and exhibited good regulatory effects on IL-6 and CINC-1 (a functional CXCL8 analog in rats). Furthermore, quercetin was identified as the major compound of HLJDD. Molecular docking and molecular dynamics simulations suggested that quercetin has a good binding affinity for ESR1. Based on AlphaFold 3 structural modeling analysis, quercetin may alleviate SIC by mediating the regulation of ESR1 recognition of estrogen response elements (EREs). CONCLUSION: In summary, HLJDD alleviates SIC by reducing PT, APTT levels and increasing the FIB contents. Our study indicates that the mechanism involves the upregulation of ESR1, which enhances ESR1-ERE binding to suppress inflammation and microthrombosis. This elucidates a specific mode of action for HLJDD, highlighting its potential value in SIC treatment."
Schisandrin B targets CD44 to inhibit glioblastoma multiforme.,Wang Na; Xie Yuxin; Chen Jialin; Chen Wenpei; Zhang Donghao; Li Hong,Naunyn-Schmiedeberg's archives of pharmacology,2026,Preclinical (In Vivo),,3,AF used for structure prediction; structure from AF,41765945,10.1007/s00210-026-05132-z,https://pubmed.ncbi.nlm.nih.gov/41765945/,Journal Article,CD44; Experimental validation; Glioblastoma multiforme; Protein structure; Schisandrin B; Virtual screening,"Glioblastoma multiforme (GBM), the most common malignant primary brain tumor, responds poorly to surgery, radiotherapy, chemotherapy, and immunotherapy, with dismal prognosis and short median survival. There is an urgent need for improved therapies, with supportive and palliative care integral to the multimodal treatment strategy. Traditional Chinese medicine (TCM) exerts antitumor effects via multi-target and multi-pathway mechanisms. Thus, screening and validation of candidate natural small molecules for the therapy and adjuvant therapy of glioblastoma multiforme (GBM) are of great significance. In this study, bioinformatics analysis identified cluster of differentiation 44 (CD44) as a positive correlate of glioblastoma multiforme (GBM). Using cluster of differentiation 44 (CD44) protein structure from the AlphaFold Protein Structure Database, we combined network pharmacology, virtual screening, and molecular docking to pinpoint Schisandrin B (Sch B) as a candidate natural small molecule against glioblastoma multiforme (GBM). In vitro assays verified that Schisandrin B (Sch B) potently inhibited glioblastoma multiforme (GBM) cell proliferation, migration, and invasion. In vivo glioblastoma multiforme (GBM) xenograft models confirmed that Schisandrin B (Sch B) reduced tumor volume, improved mouse survival, and enhanced autonomous activity. Safety evaluations further demonstrated that Schisandrin B (Sch B) had no adverse effects on mouse body weight, autonomous activity, organ index, or tissue morphology. Taken together, Schisandrin B (Sch B) targets cluster of differentiation 44 (CD44) to inhibit glioblastoma multiforme (GBM), and it has relatively good safety performance. This study can provide a research foundation for the therapy and adjuvant therapy of glioblastoma multiforme (GBM)."
Quercetin Inhibits the Progression of Gastric Cancer Through the AKT/MAPK Signaling Pathway.,Yang Guorong; Chen Juwu; Yang Xiangdi; Tan Jifeng; Liu Chengbin; Li Lingyu; Yang Xihua; Zhao Jianfu,Cancers,2026,Preclinical (In Vivo),AKT,5,AF used for structure prediction; docking on AF structure; explicit AF usage stated,41749860,10.3390/cancers18040603,https://pubmed.ncbi.nlm.nih.gov/41749860/,Journal Article,Epimedium; SERPINE1; gastric cancer; immune microenvironment; network pharmacology; quercetin,"Background: Gastric cancer (GC) remains a leading cause of cancer-related mortality, with limited treatment options for advanced stages. This study systematically investigated the molecular mechanisms of quercetin, an active compound from Epimedium, against GC using network pharmacology and experimental validation. Methods: Active compounds were screened from Epimedium. GC targets from GeneCards and Epimedium targets were analyzed for overlap. Molecular docking was conducted using AlphaFold-predicted structures. Serpin family E member 1 (SERPINE1) expression, prognostic value, and immune correlations were analyzed using The Cancer Genome Atlas data. In vitro assays were performed to evaluate quercetin's effects on AGS/MGC803 cells. BALB/c xenograft models were used to assess in vivo efficacy. Results: We identified 137 shared targets, with SERPINE1 as the core target. SERPINE1 was overexpressed in GC and correlated with poor prognosis and M2 macrophage infiltration. In vitro, quercetin dose-dependently inhibited cell proliferation, suppressed migration, and induced apoptosis through increasing Bax while decreasing Bcl-2 expression. It also inhibited AKT/MAPK signaling and reversed epithelial-mesenchymal transition by upregulating E-cadherin and downregulating N-cadherin. In vivo, quercetin treatment led to a 78.4% reduction in tumor volume without causing systemic toxicity. Conclusion: This study elucidated the multifaceted antitumor mechanisms of Epimedium-derived quercetin, which orchestrates dual suppression of tumor proliferation and immune microenvironment regulation through precise targeting of SERPINE1, offering a promising therapeutic strategy for cancer treatment."
AI-driven virtual screening platform identifies novel NSUN2 inhibitor candidates for targeted cancer therapy: a computational drug discovery approach.,Yu Shuangqi; Peng Qiao; Wei Wei; Li Xiang; Long Shengrong,NPJ precision oncology,2026,Preclinical (In Vivo),NSUN2,5,AF used for structure prediction; structure from AF; docking on AF structure; AF2/AF3/Multimer mentioned,41617787,10.1038/s41698-026-01296-2,https://pubmed.ncbi.nlm.nih.gov/41617787/,Journal Article,,"The RNA cytosine-5 methyltransferase NSUN2 is an emerging therapeutic target in precision oncology, with aberrant overexpression driving tumor progression, metastasis, and therapy resistance across multiple malignancies. Despite its critical role in cancer biology, selective small-molecule inhibitors remain limited. We employed an AI-accelerated workflow to screen approximately 101 million compounds from the ZINC database using structure-based virtual screening. The AlphaFold2-predicted human NSUN2 structure was aligned with the experimentally determined M. jannaschii TRM4 homolog (PDB: 3A4T, 34.2% sequence identity, 1.82 Å RMSD). A CatBoost ensemble classifier trained on Morgan fingerprint descriptors with AutoDock Vina-derived labels achieved robust performance (training: recall 0.87, ROC-AUC 0.89; test: recall 0.71, ROC-AUC 0.85), with low test precision reflecting extreme class imbalance inherent to virtual screening. Multi-stage filtering identified 12,000 high-scoring compounds with binding affinities of -9.933 to -8.375 kcal/mol. ADMET profiling yielded 34 drug-like candidates with favorable pharmacokinetic and toxicological profiles. Molecular dynamics simulations over 50 nanoseconds validated binding stability of lead compounds ZINC-1000507789 and ZINC-1000507824. These structurally diverse non-covalent reversible inhibitors targeting the SAM cofactor binding pocket warrant experimental validation through biochemical assays and cellular studies to overcome therapeutic resistance in NSUN2-driven malignancies."
Efficient screening and evaluation of MRGPRX2 antagonists based on AlphaFold 3.,Zhang Yongjing; Zhang Xinping; Ma Mengyang; Li Chenjia; Deng Tingting; Gao Jie; Gao Chang; Wang Nan,Biochemical pharmacology,2026,Preclinical (In Vivo),,5,AF used for structure prediction; AF structure used for docking/screening; AF2/AF3/Multimer mentioned,41138926,10.1016/j.bcp.2025.117451,https://pubmed.ncbi.nlm.nih.gov/41138926/,"Journal Article; Research Support, Non-U.S. Gov't","AlphaFold 3; Atopic dermatitis; Cell membrane chromatography; MRGPRX2; Virtual screening; Humans; HEK293 Cells; Receptors, G-Protein-Coupled; Nerve Tissue Proteins; Animals; Receptors, Neuropeptide; Mast Cells; Mice; Drug Evaluation, Preclinical; Cell Degranulation; Male; Molecular Docking Simulation","Activation of MRGPRX2 directly induces mast cell activation, which is closely related to various allergic inflammatory diseases and could serve as a therapeutic target. However, MRGPRX2 small molecule antagonist drugs have not yet been launched. Virtual screening based on protein structure is an efficient approach for the discovery of small molecule drugs. Nevertheless, the current virtual prediction based on known MRGPRX2 PDB structures is not satisfactory due to the lack of crystallization under inhibitory configuration. In this study, AlphaFold 3 was applied to predict the structure of MRGPRX2 and then used for a Bioactive Compound Library virtual screening using Schrodinger software. The top 30 compounds with the highest scores among 23,562 compounds were selected and validated for their inhibitory effect against Ca2+ influx in MRGPRX2-overexpressing HEK293 cells and mast cell degranulation. Further in vivo study indicated that HCH6-1 had a competent cure effect on MRGPRX2-related atopic dermatitis. In addition, cell membrane chromatography (CMC) was also applied to verify the binding characteristic between MRGPRX2 and HCH6-1. Overall, our research demonstrated the use of AlphaFold 3 for protein structure prediction and virtual screening and discovered a novel small molecule MRGPRX2 antagonist."
